Milestone,Workstream,Title,Description,Priority,Estimate,Labels,Status
FinHive M0 · Foundation & Agent Toolchain,ci-cd,Configure stacked PR workflow,Establish development as the integration base and main as always-deployable. Feature branches stack on development; a release PR promotes development to main. Configure branch protection requiring all gates plus one human approval. Acceptance: direct pushes to main are blocked and the release flow is documented.,2,2,"product:finhive,ci,process",Backlog
FinHive M0 · Foundation & Agent Toolchain,business-logic,MVP1 multi-select ByMonth filter in the Interest Calculator,"Business requirement: the Interest Calculator currently allows selecting only ONE month from the ByMonth filter, implemented as single-selection radio buttons. Users need to report across several months at once. Replace the radio group with multi-selection checkboxes and change the filter predicate from equality on a single month to membership in a selected set. Success metric: with several months selected, every loan whose due_date month falls in ANY selected month appears in the filtered set, and no others. Preserve every existing rule — ByMonth still excludes records with no due_date, still scopes to the current calendar year, and still includes Overdue records. Select-none must behave exactly as today's no-filter case, not as select-all. This changes MVP1, which is the live system, so it ships behind the MVP1 regression gate with new unit tests for the set-membership predicate. Do this BEFORE the MVP2 calculator is built so MVP2 replicates the new behaviour rather than building single-select and reworking it. Acceptance: selecting Mar and Jul returns exactly the union of both months' records; existing single-month behaviour is preserved when one box is ticked; MVP1 suite green.",1,5,"product:finhive,mvp1,business-logic,calculator,filter",Backlog
FinHive M0 · Foundation & Agent Toolchain,testing,MVP1 regression gate on every pull request,"Business continuity is the number one constraint: the MVP1 user validates real business on the development branch throughout MVP2 development, and MVP1 functionality must not regress. Add a required CI job running the full MVP1 suite (150 unit and integration tests plus 22 smoke tests) against src/Loan Manager on every PR, regardless of which paths changed. A PR that breaks the desktop app cannot merge. This is the mechanism that makes business continuity a property of the pipeline rather than a hope. Acceptance: a deliberate break in MVP1 domain code blocks an unrelated MVP2 PR.",1,3,"product:finhive,ci,testing,mvp1,business-continuity",Backlog
FinHive M0 · Foundation & Agent Toolchain,docs,Freeze the five open contract decisions,"ARD v2.1.0 section 10 raises five contract decisions with recommendations: viewer agent access (yes, read-only tools), optimistic concurrency (yes, If-Match plus 409), report async threshold (100), revert as a first-class endpoint (yes, and not an agent tool), and pagination (cursor across all six list endpoints). These block contract freeze and several implementation tickets. Acceptance: each decision is recorded in the ARD decision log and the dependent tickets are unblocked.",1,2,"product:finhive,arb,decision,blocked",Backlog
"FinHive M1a · Local Setup, Login & Encryption",ops,Local development setup for macOS and Windows,"The milestone-one deliverable: a developer or the MVP1 user can run the whole web app locally on either OS. Provide run_local_mac.sh and run_local_windows.bat that check runtime versions, create the Python virtualenv, install backend and frontend dependencies, start Postgres locally (or connect to a Supabase branch), apply migrations, seed the service account, and launch the API and SPA together. Write the matching setup guide for each OS under docs/. Mirror the MVP1 launcher conventions, including the version check with a readable failure message. Acceptance: a clean machine reaches a working local app from a single command on both operating systems.",1,8,"product:finhive,ops,docs,local-dev",Backlog
"FinHive M1a · Local Setup, Login & Encryption",data,Build forward-only SQL migration runner,"Implement the numbered migration system: migrations/NNNN_name.sql applied in order, with a schema_migrations table recording version, checksum, and applied_at. CI must fail if a previously-applied file's checksum changes. No down migrations. Acceptance: running the migrator twice is idempotent and editing an applied migration fails CI.",1,5,"product:finhive,database,foundation",Backlog
"FinHive M1a · Local Setup, Login & Encryption",data,Create orgs and users tables with multi-tenancy,"Migration 0001: create orgs and users tables. users maps Supabase auth.users to an org_id and a role of owner, bookkeeper, or viewer. Acceptance: a user can be created and resolved to an org and role.",1,3,"product:finhive,database,auth,foundation",Backlog
"FinHive M1a · Local Setup, Login & Encryption",data,Port MVP1 schema to Postgres with org_id,"Migration 0002: port the six MVP1 tables (loans, loan_meta, loan_history, reports, report_records, report_meta) to Postgres, adding org_id to every business table. Preserve all constraints, indexes, and the reference_id uniqueness guarantee. Acceptance: schema matches the MVP1 data model plus tenancy, and all indexes exist.",1,5,"product:finhive,database,migration,foundation",Backlog
"FinHive M1a · Local Setup, Login & Encryption",security,Service account login for the MVP1 owner,"Milestone one does not need public multi-user auth. Seed a single service account for the existing MVP1 user with role=owner, authenticating against local Supabase Auth, and skip the public signup flow entirely for now. The account must resolve to a real org_id so RLS is exercised from day one rather than bolted on at M4 — a single-tenant shortcut that bypasses RLS would invalidate every isolation guarantee later. Credentials come from ops/.env.local, never committed. Acceptance: the MVP1 user logs in, GET /api/me returns role owner with a real org_id, and RLS filters their queries.",1,5,"product:finhive,auth,security,local-dev",Backlog
"FinHive M1a · Local Setup, Login & Encryption",security,Implement AES-256-GCM encryption at rest for NPI,"ADR-2.3 and ADR-2.4 (ARD v2.2.0, v2.3.0). Encrypt every NPI field before it reaches the database, decrypting in the application layer on read: identity fields (borrower_name, depositor_name, borrower_group, depositor_group) AND financial values (amount, interest_amount, commission_amount, tds_amount, chq_amount. Rates and periods stay PLAINTEXT (decisions 13 and 14): a percentage is not a balance, and ADR-2.4 carries the derivation check proving the plaintext columns give no solve path back to amount). Store AES-256-GCM ciphertext with a random 96-bit IV and the auth tag in a _ct column, plus key_version per row. Rejected alternatives are documented in ADR-2.3: pgcrypto puts the key in query logs and lets the database see plaintext; full-disk encryption protects only a powered-off machine; GCM with a random IV alone breaks equality and sorting; deterministic encryption alone still breaks sorting and leaks frequency. Encryption must land BEFORE any real data is written, so no row is ever stored in plaintext and no backfill is needed. Acceptance: no plaintext name or amount appears in the database file, the UI shows real values, and a tampered ciphertext fails the auth tag rather than decrypting to garbage.",1,13,"product:finhive,security,privacy,encryption,mvp1-parity",Backlog
"FinHive M1a · Local Setup, Login & Encryption",security,Add HMAC blind index for encrypted IDENTITY columns only,"ADR-2.3. Exact-match filtering, autocomplete and group auto-fill must keep working on encrypted IDENTITY columns, so store a _bidx column alongside those ciphertexts holding HMAC-SHA256(key_index, normalize(plaintext)) truncated to 16 bytes, where normalize is MVP1's trim-and-lowercase rule so the index is computed over exactly the value MVP1 filters on. Index it. key_index is derived separately from key_data via HKDF with a distinct info string — never reuse one key for both. CRITICAL (ADR-2.4): a blind index must NEVER be added to an amount. Loan amounts cluster on round numbers, so a deterministic index over them is reversible by frequency analysis without the key, and order-preserving encryption is worse because it leaks the full ranking of the loan book. Encode this as a lint rule, not just a comment. Acceptance: MVP1 parity checks A1.1 autocomplete, A1.2 group auto-fill and A5.8 exact filtering pass on identity columns, and a CI rule blocks any derived index on an amount column.",1,8,"product:finhive,security,privacy,encryption,mvp1-parity",Backlog
"FinHive M1a · Local Setup, Login & Encryption",security,"Build key management, derivation and rotation","ADR-2.3. Derive key_data and key_index from a single 32-byte master via HKDF with distinct info strings. For M1a the master lives in ops/.env.local (never committed) or the OS keychain; M3 moves it to Supabase Vault or a KMS fetched at boot and held in memory only. key_version on every row makes rotation incremental: bump the version, encrypt new writes with the new key, migrate old rows in the background, retire the old key when no row references it. A lost key means unrecoverable data, so key backup is part of this ticket rather than an afterthought. Acceptance: a rotation exercise re-encrypts a subset while the app keeps reading both versions, and the documented backup restores a working key.",1,5,"product:finhive,security,privacy,encryption,ops",Backlog
"FinHive M1a · Local Setup, Login & Encryption",security,Encrypt audit JSONB snapshots containing NPI,"ADR-2.4. proposed_mutations.before_state and after_state, and agent_turns.react_trace, are JSONB blobs that contain amounts — so they are NPI and must be encrypted at rest like any other financial value. These are also the tables under 7-year retention, so they carry NPI the longest. Encrypt the whole blob with AES-256-GCM rather than per-field, since the shape varies. The approvals diff renderer decrypts in the app layer. Acceptance: no plaintext amount appears in either table's storage and the diff UI still renders field-by-field before and after values.",1,5,"product:finhive,security,privacy,encryption,audit",Backlog
"FinHive M1a · Local Setup, Login & Encryption",security,Add a CI rule banning derived indexes on amount columns,"ADR-2.4 names this as the single most likely implementation mistake: copying the identity-column pattern (ciphertext plus blind index) onto an amount. Loan amounts cluster on round numbers, so a deterministic index over them is reversible by frequency analysis without the key, and order-preserving or format-preserving encryption leaks the ranking of the loan book by design. Add a CI check that fails on any _bidx, OPE or FPE column derived from a financial field, and record the rule in the coding standards rather than only in the ADR. Acceptance: a PR adding amount_bidx is blocked with a message explaining why.",1,3,"product:finhive,security,ci,encryption",Backlog
"FinHive M1a · Local Setup, Login & Encryption",backend,Lift MVP1 domain layer unchanged,"Move domain/entities, domain/value_objects, domain/services (StatusEngine, InterestCalculator, ReferenceIdService), and domain/repositories interfaces into the MVP2 package file-for-file. No logic changes. Move the corresponding unit tests with them. Acceptance: all MVP1 domain tests pass unchanged with 100 percent coverage on domain services.",1,3,"product:finhive,domain,migration,foundation",Backlog
"FinHive M1a · Local Setup, Login & Encryption",backend,Implement asyncpg connection pool with JWT forwarding,"Build finhive/db/raw.py: an asyncpg pool that sets request.jwt.claims per connection from the verified JWT so RLS policies evaluate correctly. Handle pool sizing for serverless (small pools, short lifetimes). Acceptance: a query issued through the pool respects RLS for the calling user.",1,5,"product:finhive,database,backend,security",Backlog
"FinHive M1a · Local Setup, Login & Encryption",backend,Scaffold FastAPI application with route bundles,"Create the FastAPI app split into the four Vercel function bundles from ARD section 7: api/loans, api/reports, api/agent, api/admin. Configure per-bundle timeouts. Wire dependency injection via FastAPI Depends, replacing the MVP1 Container. Acceptance: all four bundles deploy to a Vercel preview and respond to health checks.",1,5,"product:finhive,backend,api,infra",Backlog
"FinHive M1a · Local Setup, Login & Encryption",backend,Implement JWT verification middleware,Verify Supabase JWTs on every request using cached JWKS. Extract sub and org_id claims into a request-scoped context. Return 401 on invalid or expired tokens. Acceptance: requests without a valid JWT are rejected and valid requests carry org context through to the data layer.,1,5,"product:finhive,auth,backend,security",Backlog
"FinHive M1a · Local Setup, Login & Encryption",backend,Implement GET api/me role and org bootstrap,"Add the endpoint that resolves user_id, org_id, org_name, role and a features array from the verified JWT. This is what makes the RLS model real: role is resolved server-side once rather than inferred per request in the client. Include the features array now as a forward hook for dark-launching capabilities; adding it later is a breaking change. Acceptance: the client caches MeResponse in AuthProvider and every later screen reads role from it.",1,3,"product:finhive,backend,auth,api",Backlog
"FinHive M1a · Local Setup, Login & Encryption",backend,Decrypt-and-sort path for encrypted columns including amounts,"ADR-2.3 and ADR-2.4. Alphabetical sorting on names and NUMERICAL sorting on amount are both MVP1 parity check A2.1, and ciphertext order is neither alphabetical nor numeric. Implement fetch-filtered-set to decrypt to sort to slice in the application layer for every encrypted sort key, bounded by the roughly 1500-row dataset where this is sub-millisecond. Amounts additionally lose range filtering at the database level, which moves to the same path. This constrains cursor pagination: cursors apply only to due_date, reference_id and created_at now that amount is encrypted. Document the boundary at each endpoint. Acceptance: A2.1 passes for both alphabetical and numerical sorting, and endpoints sorting by an encrypted column return correctly ordered pages.",1,8,"product:finhive,backend,encryption,mvp1-parity",Backlog
"FinHive M1a · Local Setup, Login & Encryption",frontend,Scaffold React SPA with Chakra UI,"Set up the React 18 SPA with React Router, ChakraProvider, TanStack Query for server state, and Zustand for UI state. Configure the Vercel build. Acceptance: the app builds, deploys to a preview URL, and renders an authenticated shell.",1,5,"product:finhive,frontend,setup",Backlog
"FinHive M1a · Local Setup, Login & Encryption",frontend,Implement Supabase Auth flow in React,"Build signup, login, logout, session refresh, and protected routes using Supabase Auth. Handle token refresh transparently and redirect on 401. Acceptance: a user can sign up, log in, refresh across a token expiry, and log out cleanly.",1,5,"product:finhive,frontend,auth",Backlog
"FinHive M1a · Local Setup, Login & Encryption",frontend,Build login route with AuthForm,"Create the /login route, the only screen without the app shell. AuthForm has idle, submitting and error variants with field-level validation. Submit disables while in flight so a double-submit cannot create two sessions. A failed attempt preserves typed input. Acceptance: login succeeds, wrong credentials give a generic non-enumerating failure, and the e2e persona B signup and login checks pass.",1,5,"product:finhive,frontend,auth",Backlog
"FinHive M1a · Local Setup, Login & Encryption",frontend,Build AuthProvider and RoleGate,"AuthProvider owns session, MeResponse and status, and handles transparent token refresh. RoleGate takes allow (Role array), an optional fallback and children, with hide, disable and redirect variants. Both are agent-blind and must not import from finhive/agent. Acceptance: a viewer navigating to an owner-only control sees the fallback, and the server still returns 403 if the control is bypassed.",1,5,"product:finhive,frontend,auth,security",Backlog
"FinHive M1a · Local Setup, Login & Encryption",frontend,Port MVP1 status colour palette to Chakra semantic tokens,"Define semantic tokens for status.active, status.overdue, status.pending, and status.paidoff with light and dark variants, carrying the MVP1 palette forward. Enforce the MVP1 rule that no component contains a hardcoded hex value. Acceptance: an eslint rule blocks raw hex colours in component files.",2,3,"product:finhive,frontend,design-system",Backlog
"FinHive M1a · Local Setup, Login & Encryption",frontend,Dashboard placeholder page,"Milestone one does not require a populated dashboard. Ship the route, the app shell integration and the nav entry with a clearly-marked placeholder so navigation is complete and the shell is exercised. The real KPI strip reading the dbt mart lands in M5. Acceptance: /dashboard renders inside the shell, is reachable from the nav, and states plainly that metrics arrive in a later milestone.",2,2,"product:finhive,frontend,placeholder",Backlog
"FinHive M1a · Local Setup, Login & Encryption",frontend,Chat placeholder page,"Milestone one needs the chat route to exist without an agent behind it. Ship the route, the shell integration and a placeholder that says what the assistant will do once M2 lands. No LiteLLM, no Groq, no tool registry, and no spend. Acceptance: /chat renders in the shell and makes no outbound model call.",2,2,"product:finhive,frontend,placeholder",Backlog
"FinHive M1a · Local Setup, Login & Encryption",frontend,Build MDX content pipeline and help route,"Set up the MDX build so content lives in git, is reviewed in PRs and is versioned with the code. Vite emits a build-time content index and changelog manifest. Create /help with DocNav from the manifest, MDXRenderer with lazy code-split imports, on-this-page anchors and ChangelogList. This route has zero authorization, so pair it with the crawlability decisions in the Bot Readiness sweep. Acceptance: help content renders, the nav is generated from the manifest, and a missing slug shows a not-found state.",2,8,"product:finhive,frontend,docs,content",Backlog
"FinHive M1a · Local Setup, Login & Encryption",testing,Prove encryption at rest before any real data lands,"The gate that makes the M1a encryption claim checkable rather than asserted. Inspect the database file and the wire directly: no plaintext borrower or depositor name appears in any table, index, or WAL segment; a row read back through the app returns the correct plaintext; a tampered ciphertext is rejected by the GCM auth tag; and the blind index returns the right rows for an exact filter. Run this BEFORE the M1b data import so no real record is ever written unencrypted. Acceptance: all four assertions pass and the test is wired into CI.",1,5,"product:finhive,testing,security,encryption",Backlog
FinHive M1b · MVP1 Parity — Read then Write,data,Import MVP1 git-tracked data into the local database,"The MVP1 user's live data is shared via git as CSV. Provide a one-command import that reads the git-tracked data, assigns the service account's org_id, and loads it into the local database, reusing the SQLite-to-Supabase migration's verification: row counts and per-record checksums reconciled before commit, abort on mismatch, source untouched. The import is idempotent so it can be re-run after a git pull. Acceptance: the user's real records appear on the Loans page and reconcile exactly with the CSV.",1,5,"product:finhive,data,local-dev,migration",Backlog
FinHive M1b · MVP1 Parity — Read then Write,backend,Implement PostgresLoanRepository with raw SQL,"Implement the MVP1 ILoanRepository interface using raw parameterized asyncpg queries. All SQL lives in module-level constants using numbered bind parameters. No f-strings, string concatenation, or .format() in any SQL. Acceptance: all MVP1 repository contract tests pass against Postgres.",1,8,"product:finhive,database,backend",Backlog
FinHive M1b · MVP1 Parity — Read then Write,backend,Port loan use cases to async,"Convert the MVP1 use cases (CreateLoan, UpdateLoan, DeleteLoan, ExtendLoan, MarkPaidOff, RecomputeAllStatuses, GetLoans, GetAutocomplete) to async while preserving their contracts and tests. Acceptance: use case behaviour is identical to MVP1 and all ported tests pass.",1,8,"product:finhive,backend,domain,migration",Backlog
FinHive M1b · MVP1 Parity — Read then Write,backend,Build loan CRUD REST endpoints,"Expose the loan use cases as REST endpoints with Pydantic request and response models and auto-generated OpenAPI. The OpenAPI schema later feeds the agent tool registry, so descriptions must be accurate and user-facing. Acceptance: full CRUD works end to end against Supabase with RLS enforced.",1,5,"product:finhive,backend,api",Backlog
FinHive M1b · MVP1 Parity — Read then Write,backend,Compute LoanTotals in the app layer over decrypted rows,"ADR-2.4. Amounts are encrypted, so SQL SUM is no longer available. Every loans list response still carries totals (count, principal, interest, outstanding) computed over exactly the filtered set — but the app decrypts the fetched rows and sums with Decimal rather than the database aggregating. The guarantee is preserved: the footer restates totals from the same payload, so the table and the total cannot disagree, which is the direct answer to MVP1's worst defect class. Constraint created: totals cannot be computed over a set larger than the one fetched, which is fine at 1500 rows and is the trigger to revisit at scale. Acceptance: TotalsFooter renders from response.totals, a filter change updates both in one round trip, and Decimal summation is exact.",1,5,"product:finhive,backend,frontend,api",Backlog
FinHive M1b · MVP1 Parity — Read then Write,backend,Implement cursor pagination across all list endpoints,"Apply cursor pagination uniformly to the six list endpoints: loans, approvals, reports, report records, agent sessions and any future list. Offset is easier against raw SQL but produces duplicate and skipped rows under concurrent writes, and the approval queue mutates while it is read. Mixed pagination is the worst outcome, so pick one and apply it everywhere. Acceptance: every list response carries next_cursor and a concurrent-write test shows no duplicate or skipped rows.",1,8,"product:finhive,backend,api,database",Backlog
FinHive M1b · MVP1 Parity — Read then Write,backend,Implement optimistic concurrency on inline edit,"PATCH /api/loans/{reference_id} takes an If-Match version header and returns 409 on staleness. Add the version column, the conflict detection, and the LoanRow conflict variant that lets the user see both values and choose. Last-write-wins is cheaper but silently loses a bookkeeper's edit, which is the failure mode MVP1 existed to remove. Acceptance: two concurrent edits produce a 409 and a resolvable conflict state, not a silent overwrite.",1,8,"product:finhive,backend,frontend,database",Backlog
FinHive M1b · MVP1 Parity — Read then Write,backend,Port report generation and approval endpoints,"Port the MVP1 report lifecycle (calculate, generate, approve, decline) to FastAPI, preserving the duplicate-reference and deleted-loan conflict warnings. Acceptance: the MVP1 approval flow integration tests pass against the new API.",1,8,"product:finhive,backend,api,domain",Backlog
FinHive M1b · MVP1 Parity — Read then Write,backend,Implement server-computed FieldDiff,"The approvals detail endpoint returns diff as a FieldDiff array alongside the raw before_state and after_state snapshots. The client must never derive the diff itself. Two diff implementations will disagree eventually, and what the user approves must be exactly what the server applies. Acceptance: DiffTable renders only from the server-provided FieldDiff, and a test proves the client has no diffing logic.",1,5,"product:finhive,backend,security,api",Backlog
FinHive M1b · MVP1 Parity — Read then Write,backend,Implement bulk extend as a proposal batch,"POST /api/loans/extend takes reference_ids, periods and an optional reason and returns 202 with a batch_id. A bulk extend is a proposal even when a human initiated it from the table: form-originated and agent-originated writes converge on the same approval gate and differ only by OriginBadge. There must be no second unaudited write path. Acceptance: bulk extend from the table creates a pending batch and changes no loan row until approved.",1,5,"product:finhive,backend,api,security",Backlog
FinHive M1b · MVP1 Parity — Read then Write,backend,Implement report generation async job path,"POST /api/reports returns 202 with job_id and poll_after_ms above the async threshold, or 200 with the report inline below it. Freeze REPORT_ASYNC_THRESHOLD at 100 records as a named constant referenced by the Playwright fixture boundary so both the sync and async paths are exercised. This is the only screen where the serverless timeout ceiling becomes user-visible. Acceptance: a 500-record report completes via the job path without a timeout and a 20-record report returns inline.",1,8,"product:finhive,backend,performance,api",Backlog
FinHive M1b · MVP1 Parity — Read then Write,backend,Implement long-running job escape hatch,"For report generation over 100 records, write a job row and return 202 Accepted with a client poll endpoint, avoiding the serverless timeout ceiling. Acceptance: a 500-record report completes via the job path without a timeout.",2,5,"product:finhive,backend,performance",Backlog
FinHive M1b · MVP1 Parity — Read then Write,backend,Implement report record preview and PDF export,GET /api/reports/{report_id}/records returns paginated records plus totals for a read-only preview showing post-approval state. POST /api/reports/{report_id}/export returns a Vercel Blob signed URL with an expiry and byte count. Acceptance: the preview reconciles with the generated report and the PDF downloads via the signed URL.,2,8,"product:finhive,backend,frontend,storage",Backlog
FinHive M1b · MVP1 Parity — Read then Write,backend,Implement submit report to approval queue,"POST /api/reports/{report_id}/submit returns 202 with a batch_id, reusing the section 12 approval gate rather than introducing a parallel path. Acceptance: submitting a report produces a pending proposal batch visible on /approvals with a FORM origin badge.",2,3,"product:finhive,backend,api",Backlog
FinHive M1b · MVP1 Parity — Read then Write,backend,Move amount non-negativity enforcement into Money,"ADR-2.4. CHECK (amount >= 0) cannot run on ciphertext and the column becomes BYTEA, so the database type guarantee is gone too. The Money value object lifted from MVP1 becomes the ONLY enforcement of non-negativity and integrality, which raises it from a nicety to the sole guard. Add a test asserting Money rejects every invalid construction — negative, fractional, non-numeric, overflow — and assert that the repository layer never constructs an amount without going through it. Acceptance: no code path can write a negative or fractional amount, proven by test rather than by convention.",1,3,"product:finhive,backend,security,domain",Backlog
FinHive M1b · MVP1 Parity — Read then Write,business-logic,Multi-month ByMonth filter in the MVP2 calculator,"Carry the MVP1 multi-select ByMonth behaviour into the MVP2 calculator and report generator. The filter parameter becomes a list of months rather than a single value, the API accepts repeated or comma-separated month params, and the UI uses multi-selection checkboxes. Success metric is identical to the MVP1 ticket: with several months selected, every loan whose due_date month falls in ANY selected month appears and no others. ByMonth still excludes no-due-date records, still scopes to the current calendar year, and still includes Overdue. Acceptance: parity with the MVP1 implementation on the same dataset, verified by the e2e MVP1 continuity sweep check A5.8.",1,5,"product:finhive,business-logic,backend,frontend,calculator",Backlog
FinHive M1b · MVP1 Parity — Read then Write,frontend,Build loans table with filter and sort,"Recreate the MVP1 View Tab as a React data table: sortable columns, per-column filtering including the year to month date hierarchy, inline editing, and status colour coding. Carry forward the MVP1 lesson that filter state needs a single source of truth. Acceptance: filter behaviour matches the MVP1 sample data checkpoints (bg3 returns 2 records, dg3 returns 4).",1,8,"product:finhive,frontend,feature",Backlog
FinHive M1b · MVP1 Parity — Read then Write,frontend,Build loan entry and edit forms,"Port the MVP1 Entry Tab: autocomplete on borrower and depositor fields, group auto-fill from history, due_period to due_date derivation, and date pickers. Acceptance: all MVP1 entry validation rules hold, including lowercase normalisation at write time.",2,5,"product:finhive,frontend,feature",Backlog
FinHive M1b · MVP1 Parity — Read then Write,frontend,Build reports route with generate form,"Create /reports with ReportForm (mode, period type, rates, selection) validating before submit, and ReportList showing generated and pending reports. Variants: interest, commission, tds, chq. Acceptance: a report generates end to end and appears in the list.",2,8,"product:finhive,frontend,feature",Backlog
FinHive M1b · MVP1 Parity — Read then Write,frontend,Build JobProgress polling component,"JobProgress takes a job_id and polls GET /api/reports/jobs/{job_id} with backoff, showing queued, running, done and failed states. Acceptance: progress advances visibly, a failure surfaces its error, and the poll stops on a terminal state.",2,5,"product:finhive,frontend,feature",Backlog
FinHive M1b · MVP1 Parity — Read then Write,frontend,Build mutation approval queue UI,"Create the approvals route rendering exact field-by-field before and after diffs from the stored JSONB snapshots, never the agent's prose description. Only the owner role sees approve controls, enforced server-side by RLS. Acceptance: a bookkeeper cannot approve, an owner can, and approving applies all mutations in a batch inside one transaction.",1,8,"product:finhive,frontend,security,ai",Backlog
FinHive M1b · MVP1 Parity — Read then Write,frontend,Build SessionExpiredDialog with edit replay,"On a 401 with code token_expired after a failed refresh, show a modal over the frozen screen. Unsaved inline edits are held in a buffer and replayed after re-auth. No route change and no data loss. MVP1 existed partly to stop silent data loss, so an expiry that discards a half-typed row reintroduces the original problem. Acceptance: an inline edit interrupted by an expiry survives re-auth and commits.",1,5,"product:finhive,frontend,auth,ux",Backlog
